Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Search TestSuite,Chrome 78.0.3904.70,,,2019-10-31 15:03:27,2019-10-31 15:03:53,25.869s,INCOMPLETE
,,,,,,,
Test Cases/Search/EOL_Global_Header_TC008,Chrome 78.0.3904.70,Search Functionality,,2019-10-31 15:03:27,2019-10-31 15:03:53,25.440s,FAILED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-31 15:03:28,2019-10-31 15:03:33,4.148s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Chrome 78.0.3904.70,,,2019-10-31 15:03:33,2019-10-31 15:03:46,13.940s,PASSED
maximizeWindow(),Chrome 78.0.3904.70,,,2019-10-31 15:03:46,2019-10-31 15:03:47,0.602s,PASSED
"click(findTestObject(""Object Repository/Search_OR/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_No Thanks""))",Chrome 78.0.3904.70,,,2019-10-31 15:03:47,2019-10-31 15:03:48,0.508s,PASSED
"click(findTestObject(""Page_Entertainmen/div_Venezuela_nav__search-button js-nav__search-button queryly_search_button""))",Chrome 78.0.3904.70,,,2019-10-31 15:03:48,2019-10-31 15:03:48,0.819s,FAILED
"setText(findTestObject(""Page_Entertainmen/input_Advanced Search_queryly_query""), ""Priyanka Chopra"")",Chrome 78.0.3904.70,,,2019-10-31 15:03:48,2019-10-31 15:03:49,0.583s,FAILED
"click(findTestObject(""Page_Entertainmen/div_Showing 387 Results for priyanka chopra""))",Chrome 78.0.3904.70,,,2019-10-31 15:03:49,2019-10-31 15:03:50,0.628s,FAILED
"click(findTestObject(""Page_Entertainmen/img_Advanced Search_advanced_closebutton""))",Chrome 78.0.3904.70,,,2019-10-31 15:03:50,2019-10-31 15:03:50,0.535s,FAILED
closeBrowser(),Chrome 78.0.3904.70,,,2019-10-31 15:03:50,2019-10-31 15:03:51,0.541s,PASSED
