Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GlobalHeader TestSuite,Chrome 78.0.3904.70,,,2019-10-31 15:09:10,2019-10-31 15:12:48,3m - 37.767s,INCOMPLETE
,,,,,,,
Test Cases/Global Header/EOL_Global_Header_TC004,Chrome 78.0.3904.70,"""Verify EOL International Editions drop-down menu at the top right of the Header 
(Should display the country code of the contentEdition the user is viewing)""",,2019-10-31 15:09:11,2019-10-31 15:09:43,32.242s,FAILED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-31 15:09:12,2019-10-31 15:09:17,4.540s,PASSED
maximizeWindow(),Chrome 78.0.3904.70,,,2019-10-31 15:09:17,2019-10-31 15:09:17,0.323s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Chrome 78.0.3904.70,,,2019-10-31 15:09:17,2019-10-31 15:09:39,22.033s,PASSED
"click(findTestObject(""Page_Entertainmen/a_us""))",Chrome 78.0.3904.70,,,2019-10-31 15:09:39,2019-10-31 15:09:41,1.376s,FAILED
closeBrowser(),Chrome 78.0.3904.70,,,2019-10-31 15:09:41,2019-10-31 15:09:41,0.349s,PASSED
,,,,,,,
Test Cases/Global Header/EOL_Global_Header_TC001,Chrome 78.0.3904.70,Verify the E! News Logo appears on the left hand side of the EOL Global Header.,,2019-10-31 15:09:43,2019-10-31 15:10:09,25.459s,PASSED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-31 15:09:44,2019-10-31 15:09:46,2.075s,PASSED
maximizeWindow(),Chrome 78.0.3904.70,,,2019-10-31 15:09:46,2019-10-31 15:09:46,0.260s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Chrome 78.0.3904.70,,,2019-10-31 15:09:46,2019-10-31 15:10:05,19.421s,PASSED
"click(findTestObject(""Object Repository/GlobalHeader_OR/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_No Thanks""))",Chrome 78.0.3904.70,,,2019-10-31 15:10:06,2019-10-31 15:10:06,0.495s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/GlobalHeader_OR/Page_Entertainment News Celebrity Gossip Celebrity News  E News/a_LATEST NEWS_nav__logo-link nav__logo-link--default nav__logo-link--default-branding""), 0)",Chrome 78.0.3904.70,,,2019-10-31 15:10:06,2019-10-31 15:10:06,0.296s,PASSED
closeBrowser(),Chrome 78.0.3904.70,,,2019-10-31 15:10:06,2019-10-31 15:10:07,0.355s,PASSED
,,,,,,,
Test Cases/Global Header/EOL_Global_Header_TC005,Chrome 78.0.3904.70,Verify the Section Type Indicators are white (Yellow on Hover).,,2019-10-31 15:10:09,2019-10-31 15:11:17,1m - 8.066s,PASSED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-10-31 15:10:09,2019-10-31 15:10:11,2.226s,PASSED
maximizeWindow(),Chrome 78.0.3904.70,,,2019-10-31 15:10:11,2019-10-31 15:10:12,0.242s,PASSED
"navigateToUrl(""https://www.eonline.com/us"")",Chrome 78.0.3904.70,,,2019-10-31 15:10:12,2019-10-31 15:10:31,19.073s,PASSED
"click(findTestObject(""Page_Entertainmen/a_No Thanks""))",Chrome 78.0.3904.70,,,2019-10-31 15:10:31,2019-10-31 15:10:31,0.582s,PASSED
"mouseOver(findTestObject(""GlobalHeader_OR/LatestNews_OR""))",Chrome 78.0.3904.70,,,2019-10-31 15:10:31,2019-10-31 15:10:32,0.466s,PASSED
delay(5),Chrome 78.0.3904.70,,,2019-10-31 15:10:32,2019-10-31 15:10:37,5.044s,PASSED
"mouseOver(findTestObject(""GlobalHeader_OR/WatchFullEpisodes_OR""))",Chrome 78.0.3904.70,,,2019-10-31 15:10:37,2019-10-31 15:10:37,0.290s,PASSED
delay(5),Chrome 78.0.3904.70,,,2019-10-31 15:10:37,2019-10-31 15:10:42,5.009s,PASSED
"mouseOver(findTestObject(""GlobalHeader_OR/Royals_OR""))",Chrome 78.0.3904.70,,,2019-10-31 15:10:42,2019-10-31 15:10:42,0.296s,PASSED
delay(5),Chrome 78.0.3904.70,,,2019-10-31 15:10:42,2019-10-31 15:10:47,5.007s,PASSED
"mouseOver(findTestObject(""GlobalHeader_OR/Kardashians_OR""))",Chrome 78.0.3904.70,,,2019-10-31 15:10:47,2019-10-31 15:10:48,0.305s,PASSED
delay(5),Chrome 78.0.3904.70,,,2019-10-31 15:10:48,2019-10-31 15:10:53,5.009s,PASSED
"mouseOver(findTestObject(""GlobalHeader_OR/photos_or""))",Chrome 78.0.3904.70,,,2019-10-31 15:10:53,2019-10-31 15:10:53,0.314s,PASSED
delay(5),Chrome 78.0.3904.70,,,2019-10-31 15:10:53,2019-10-31 15:10:58,5.004s,PASSED
"mouseOver(findTestObject(""GlobalHeader_OR/TV_OR""))",Chrome 78.0.3904.70,,,2019-10-31 15:10:58,2019-10-31 15:10:59,0.547s,PASSED
delay(5),Chrome 78.0.3904.70,,,2019-10-31 15:10:59,2019-10-31 15:11:04,5.008s,PASSED
"mouseOver(findTestObject(""GlobalHeader_OR/Hallowen_OR""))",Chrome 78.0.3904.70,,,2019-10-31 15:11:04,2019-10-31 15:11:04,0.371s,PASSED
delay(5),Chrome 78.0.3904.70,,,2019-10-31 15:11:04,2019-10-31 15:11:09,5.009s,PASSED
"mouseOver(findTestObject(""GlobalHeader_OR/PCA_OR""))",Chrome 78.0.3904.70,,,2019-10-31 15:11:09,2019-10-31 15:11:09,0.310s,PASSED
delay(5),Chrome 78.0.3904.70,,,2019-10-31 15:11:09,2019-10-31 15:11:14,5.009s,PASSED
closeBrowser(),Chrome 78.0.3904.70,,,2019-10-31 15:11:14,2019-10-31 15:11:15,0.327s,PASSED
,,,,,,,
